Month,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths
1,Alabama,1/9/2021 5:30,32.3182,-86.9023,455582,7566
1,Alaska,1/9/2021 5:30,61.3707,-152.4044,54216,262
1,American Samoa,1/9/2021 5:30,-14.271,-170.132,0,0
1,Arizona,1/9/2021 5:30,33.7298,-111.4312,753379,13098
1,Arkansas,1/9/2021 5:30,34.9697,-92.3731,294387,4838
1,California,1/9/2021 5:30,36.1162,-119.6816,3310949,40702
1,Colorado,1/9/2021 5:30,39.0598,-105.3111,395019,5620
1,Connecticut,1/9/2021 5:30,41.5978,-72.7554,250023,7046
1,Delaware,1/9/2021 5:30,39.3185,-75.5071,77551,1301
1,District of Columbia,1/9/2021 5:30,38.8974,-77.0268,36662,909
1,Florida,1/9/2021 5:30,27.7663,-81.6868,1713589,26360
1,Georgia,1/9/2021 5:30,33.0406,-83.6431,905858,14196
1,Guam,1/9/2021 5:30,13.4443,144.7937,7579,129
1,Hawaii,1/9/2021 5:30,21.0943,-157.4983,25994,406
1,Idaho,1/9/2021 5:30,44.2405,-114.4788,162683,1725
1,Illinois,1/9/2021 5:30,40.3495,-88.9861,1123873,21213
1,Indiana,1/9/2021 5:30,39.8494,-86.2583,624959,11262
1,Iowa,1/9/2021 5:30,42.0115,-93.2105,319110,4651
1,Kansas,1/9/2021 5:30,38.5266,-96.7265,276956,3767
1,Kentucky,1/9/2021 5:30,37.6681,-84.6701,361115,3714
1,Louisiana,1/9/2021 5:30,31.1695,-91.8678,397276,8801
1,Maine,1/9/2021 5:30,44.6939,-69.3819,39168,590
1,Maryland,1/9/2021 5:30,39.0639,-76.8021,352726,7107
1,Massachusetts,1/9/2021 5:30,42.2302,-71.5301,521360,14531
1,Michigan,1/9/2021 5:30,43.3266,-84.5361,610138,15525
1,Minnesota,1/9/2021 5:30,45.6945,-93.9002,460819,6255
1,Mississippi,1/9/2021 5:30,32.7416,-89.6787,274190,6018
1,Missouri,1/9/2021 5:30,38.4561,-92.2884,472942,7040
