state,date,percentage,daily_cases
Alabama,2020-04-12,44.425606060606064,203.0
Alabama,2020-04-13,80.55363636363639,171.0
Alabama,2020-04-14,83.86257575757574,266.0
Alabama,2020-04-15,86.7281818181818,158.0
Alabama,2020-04-16,91.57939393939397,92.0
Alabama,2020-04-17,103.53272727272724,231.0
Alabama,2020-04-18,96.59318181818182,190.0
Alabama,2020-04-19,60.242424242424235,185.0
Alabama,2020-04-20,93.17742424242421,241.0
Alabama,2020-04-21,94.60863636363634,288.0
Alabama,2020-04-22,94.04469696969694,207.0
Alabama,2020-04-24,115.76090909090911,193.0
Alabama,2020-04-25,106.72924242424244,182.0
Alabama,2020-04-26,85.01484848484849,201.0
Alabama,2020-04-27,98.82803030303032,146.0
Alabama,2020-04-28,101.19454545454543,199.0
Alabama,2020-04-29,92.475,159.0
Alabama,2020-04-30,112.46439393939391,208.0
Alabama,2020-05-01,134.27393939393943,253.0
Alabama,2020-05-02,131.9922727272727,260.0
Alabama,2020-05-03,108.3037878787879,277.0
Alabama,2020-05-04,113.63136363636363,226.0
Alabama,2020-05-05,114.65439393939391,317.0
Alabama,2020-05-06,120.26060606060607,249.0
Alabama,2020-05-07,129.1028787878788,346.0
Alabama,2020-05-08,137.61136363636365,322.0
Alabama,2020-05-09,143.18257575757573,283.0
Alabama,2020-05-10,107.81621212121213,262.0
Alabama,2020-05-11,104.155,280.0
Alabama,2020-05-12,84.20499999999998,304.0
Alabama,2020-05-13,137.71227272727273,256.0
Alabama,2020-05-14,149.87848484848485,339.0
Alabama,2020-05-15,171.535606060606,333.0
Alabama,2020-05-16,170.3692424242424,334.0
Alabama,2020-05-17,132.57106060606063,309.0
Alabama,2020-05-18,139.0060606060606,301.0
Alabama,2020-05-19,142.48772727272728,387.0
Alabama,2020-05-20,147.89454545454547,361.0
Alabama,2020-05-21,167.9219696969697,404.0
Alabama,2020-05-22,206.1510606060606,364.0
Alabama,2020-05-23,196.7187878787879,374.0
Alabama,2020-05-24,152.37318181818176,348.0
Alabama,2020-05-25,174.50075757575755,633.0
Alabama,2020-05-26,150.72090909090903,590.0
Alabama,2020-05-27,148.27030303030304,364.0
Alabama,2020-05-28,161.85409090909098,486.0
Alabama,2020-05-29,192.47818181818184,513.0
Alabama,2020-05-30,200.3180303030303,427.0
Alabama,2020-05-31,153.9977272727273,511.0
Alabama,2020-06-01,151.58287878787885,325.0
Alabama,2020-06-02,145.74121212121213,209.0
Alabama,2020-06-03,151.96651515151518,220.0
Alabama,2020-06-04,162.67954545454546,308.0
Alabama,2020-06-05,189.13272727272727,648.0
Alabama,2020-06-06,208.55909090909088,445.0
Alabama,2020-06-07,145.04818181818183,422.0
Alabama,2020-06-08,146.27469696969698,491.0
Alabama,2020-06-09,148.72575757575754,566.0
Alabama,2020-06-10,157.76939393939398,825.0
Alabama,2020-06-11,176.5177272727273,711.0
Alabama,2020-06-12,209.5627272727274,1035.0
Alabama,2020-06-13,231.78787878787873,959.0
Alabama,2020-06-14,174.4039393939394,818.0
Alabama,2020-06-15,166.32893939393935,303.0
Alabama,2020-06-16,161.54939393939395,549.0
Alabama,2020-06-17,165.98000000000005,907.0
Alabama,2020-06-18,178.9446969696969,735.0
Alabama,2020-06-19,220.5856060606061,549.0
Alabama,2020-06-20,250.0510606060606,458.0
Alabama,2020-06-21,162.7743939393939,439.0
Alabama,2020-06-22,166.68924242424248,649.0
Alabama,2020-06-23,157.37439393939394,1118.0
Alabama,2020-06-24,163.70787878787883,989.0
Alabama,2020-06-25,181.21515151515152,1002.0
Alabama,2020-06-26,217.1421212121212,1023.0
Alabama,2020-06-27,241.8957575757576,180.0
Alabama,2020-06-28,180.08757575757573,1420.0
Alabama,2020-06-29,171.2284848484848,1086.0
Alabama,2020-06-30,165.69469696969693,888.0
Alabama,2020-07-01,173.88090909090909,1170.0
Alabama,2020-07-02,203.02727272727276,1693.0
Alabama,2020-07-03,217.82106060606063,915.0
Alabama,2020-07-04,182.83196969696974,961.0
Alabama,2020-07-05,190.13181818181826,806.0
Alabama,2020-07-06,175.75090909090903,910.0
Alabama,2020-07-07,161.60742424242426,1416.0
Alabama,2020-07-08,165.14181818181817,1801.0
Alabama,2020-07-09,178.27909090909088,1546.0
Alabama,2020-07-10,213.62696969696967,1634.0
Alabama,2020-07-11,244.78500000000005,1473.0
Alabama,2020-07-12,162.86242424242423,1979.0
Alabama,2020-07-13,167.68454545454546,1387.0
Alabama,2020-07-14,163.2689393939394,2116.0
Alabama,2020-07-15,166.31409090909094,1910.0
Alabama,2020-07-16,178.704696969697,1934.0
Alabama,2020-07-17,213.69666666666677,2024.0
Alabama,2020-07-18,244.97878787878787,2029.0
Alabama,2020-07-19,171.80318181818188,1552.0
Alabama,2020-07-20,165.619393939394,1503.0
Alabama,2020-07-21,160.29318181818175,1364.0
Alabama,2020-07-22,166.23015151515153,1994.0
Alabama,2020-07-23,182.14136363636365,2091.0
Alabama,2020-07-24,215.33515151515155,2110.0
Alabama,2020-07-25,238.9725757575758,1393.0
Alabama,2020-07-26,172.70621212121208,1760.0
Alabama,2020-07-27,164.0880303030303,1308.0
Alabama,2020-07-28,156.20560606060613,1442.0
Alabama,2020-07-29,163.95060606060608,1954.0
Alabama,2020-07-30,177.65787878787881,2012.0
Alabama,2020-07-31,205.13090909090906,1602.0
Alabama,2020-08-01,235.36757575757576,2033.0
Alabama,2020-08-02,166.4539393939394,1159.0
Alabama,2020-08-03,170.01181818181823,1044.0
Alabama,2020-08-04,166.48515151515156,955.0
Alabama,2020-08-05,170.81409090909088,1866.0
Alabama,2020-08-06,184.05712121212113,1721.0
Alabama,2020-08-07,217.00939393939387,1851.0
Alabama,2020-08-08,232.14575757575759,959.0
Alabama,2020-08-09,172.09515151515146,1612.0
Alabama,2020-08-10,170.3404545454546,925.0
Alabama,2020-08-11,166.87803030303027,1094.0
Alabama,2020-08-12,170.0684848484849,734.0
Alabama,2020-08-13,181.60651515151517,757.0
Alabama,2020-08-14,214.43181818181816,1120.0
Alabama,2020-08-15,221.09469696969694,830.0
Alabama,2020-08-16,174.1362121212121,741.0
Alabama,2020-08-17,170.2546969696969,1425.0
Alabama,2020-08-18,166.82106060606066,1323.0
Alabama,2020-08-19,165.75924242424244,1281.0
Alabama,2020-08-20,174.25803030303032,1041.0
Alabama,2020-08-21,210.04939393939398,1475.0
Alabama,2020-08-22,202.6263636363636,597.0
Alabama,2020-08-23,153.96242424242428,676.0
Alabama,2020-08-24,152.2242424242424,560.0
Alabama,2020-08-25,145.31121212121212,2145.0
Alabama,2020-08-26,154.23030303030302,1714.0
Alabama,2020-08-27,165.4801515151516,1137.0
Alabama,2020-08-28,185.07545454545448,1838.0
Alabama,2020-08-29,187.1786363636364,1276.0
Alabama,2020-08-30,136.94893939393936,789.0
Alabama,2020-08-31,148.42348484848486,1556.0
Alabama,2020-09-01,152.41893939393938,734.0
Alabama,2020-09-02,157.15560606060603,1006.0
Alabama,2020-09-03,182.81015151515157,985.0
Alabama,2020-09-04,244.47772727272724,1148.0
Alabama,2020-09-05,215.455909090909,541.0
Alabama,2020-09-06,169.26469696969693,776.0
Alabama,2020-09-07,205.9771212121212,531.0
Alabama,2020-09-08,164.0398484848485,784.0
Alabama,2020-09-09,158.59712121212124,1056.0
Alabama,2020-09-10,170.6015151515152,1077.0
